Executable,DllName
perfmon.exe,ATL.DLL
perfmon.exe,credui.dll
perfmon.exe,SspiCli.dll
phoneactivate.exe,Windows.UI.Immersive.dll
phoneactivate.exe,SLC.dll
phoneactivate.exe,sppcext.dll
phoneactivate.exe,DUI70.dll
PinEnrollmentBroker.exe,SspiCli.dll
PinEnrollmentBroker.exe,PROPSYS.dll
PnPUnattend.exe,newdev.dll
PnPUnattend.exe,MPR.dll
pnputil.exe,DEVOBJ.dll
pnputil.exe,Cabinet.dll
PresentationHost.exe,VERSION.dll
PresentationHost.exe,mscoree.dll
PresentationHost.exe,WININET.dll
PresentationHost.exe,urlmon.dll
PresentationSettings.exe,SspiCli.dll
PresentationSettings.exe,WINMM.dll
PrintBrmUi.exe,WINSPOOL.DRV
printfilterpipelinesvc.exe,POWRPROF.dll
printfilterpipelinesvc.exe,prntvpt.dll
printfilterpipelinesvc.exe,xpsservices.dll
proquota.exe,USERENV.dll
provlaunch.exe,msvcp110_win.dll
provtool.exe,msvcp110_win.dll
provtool.exe,dmcommandlineutils.dll
provtool.exe,profapi.dll
ProximityUxHost.exe,ProximityCommon.dll
ProximityUxHost.exe,ProximityServicePAL.dll
ProximityUxHost.exe,PROPSYS.dll
ProximityUxHost.exe,dwmapi.dll
ProximityUxHost.exe,WINMM.dll
ProximityUxHost.exe,deviceassociation.dll
ProximityUxHost.exe,OpcServices.DLL
ProximityUxHost.exe,DUI70.dll
psr.exe,uireng.dll
psr.exe,VERSION.dll
psr.exe,XmlLite.dll
qappsrv.exe,NETAPI32.dll
qprocess.exe,WINSTA.dll
qprocess.exe,UTILDLL.dll
query.exe,REGAPI.dll
quser.exe,WINSTA.dll
quser.exe,UTILDLL.dll
qwinsta.exe,WINSTA.dll
qwinsta.exe,UTILDLL.dll
rasautou.exe,RASDLG.dll
rasdial.exe,RASAPI32.dll
raserver.exe,WTSAPI32.dll
raserver.exe,samcli.dll
raserver.exe,netutils.dll
rasphone.exe,rtutils.dll
rdpclip.exe,WINSTA.dll
rdpclip.exe,WTSAPI32.dll
rdpclip.exe,MPR.dll
rdpclip.exe,WINSPOOL.DRV
rdpclip.exe,dwmapi.dll
rdpclip.exe,DEVOBJ.dll
rdpinput.exe,WINSTA.dll
rdpinput.exe,WTSAPI32.dll
RdpSa.exe,SspiCli.dll
RdpSa.exe,WINSTA.dll
RdpSaUacHelper.exe,WINSTA.dll
rdpshell.exe,WTSAPI32.dll
rdpshell.exe,WINSTA.dll
rdpshell.exe,dwmapi.dll
RDVGHelper.exe,WTSAPI32.dll
RDVGHelper.exe,dwmapi.dll
ReAgentc.exe,ReAgent.dll
recdisc.exe,bcd.dll
recdisc.exe,ReAgent.dll
recover.exe,IfsUtil.dll
RecoveryDrive.exe,UNATTEND.DLL
